geo_id,name,,,
1458,Cuando Cubango,,,
1459,Cuanza Norte,,,
1460,Cuanza Sul,,,
614,Cuba (country),,,
1461,Cunene,,,
1058,Cuvette,,,
1059,Cuvette-Ouest,,,
46,Cyber City Refugee Camp,,,
616,Cyprus (country),,,
617,Czech Republic (country),,,
818,Dabat Bosin,,,
179,Dadaab,,,
185,Dadaab Host Community,,,
180,Dagahaley Ref. Camp,,,
1242,Daha I,,,
1243,Daha II,,,
6,Dahuk,,,
1500,Dakahlia,,,
1632,Dakar,,,
1104,Dakere,,,
1586,Dakhla-Oued Ed-Dahab[A],,,
1359,Dakhlet Nouadhibou,,,
1501,Damietta,,,
362,Damissa,,,
474,Danamadja,,,
1166,Dang-Patou,,,
1426,Dar Es Salam,,,
20,Darashakran Camp,,,
825,Darfur,,,
1568,Darnah,,,
1651,Daykundi,,,
1605,Delta,,,
444,Dembo,,,
663,Democratic People's Republic of Korea (country),,,
486,Democratic Republic of the Congo (country),,,
520,Denguele,,,
618,Denmark (country),,,
1330,Deou (hors camp),,,
1855,Dhuusamarreeb,,,
1246,Diamaré,,,
1331,Dibissi (hors camp),,,
361,Diel,,,
1390,Diffa Region,,,
1105,Digou Adamou,,,
1874,Diinsoor,,,
464,Dilingala,,,
1633,Diourbel,,,
1106,Dip,,,
1107,Dir,,,
124,Dispersed in Hatay Province,,,
514,District Autonome d'Abidjan,,,
530,District Autonome Yamoussoukro,,,
28,Diyala,,,
420,Djabal,,,
1232,Djakone,,,
1108,Djalingo,,,
1109,Djallo,,,
1110,Djaoro Mone,,,
1269,Djelfa,,,
1332,Djibo,,,
151,Djibouti (country),,,
1111,Djohong,,,
447,Doba,,,
1239,Doholo,,,
161,Dollo Ado,,,
167,Dollo Ado Reception Center,,,
165,Dollo Ado Transit Center,,,
619,Dominica (country),,,
620,Dominican Republic (country),,,
8,Domiz 1 Camp,,,
11,Domiz 2 Camp,,,
1233,Dompla,,,
428,Don,,,
1167,Dondoube,,,
1478,Donga,,,
1885,Doolow,,,
261,Doro,,,
422,Dosseye,,,
391,Douala,,,
465,Doubadene,,,
455,Doubadene IV,,,
467,Doyaba,,,
1587,Drâa-Tafilalet,,,
7,Duhok Non-Camp,,,
1807,Dungu,,,
556,Duogee Ref. Camp,,,
327,Dzaipi TC,,,
372,East,,,
414,East Border,,,
309,East Darfur,,,
379,East Region,,,
1552,Eastern,,,
1078,Eastern,,,
988,Eastern,,,
1710,Eastern Macedonia and Thrace,,,
801,Eastern Region,,,
1606,Ebonyi,,,
621,Ecuador (country),,,
1608,Edo,,,
1,Egypt (country),,,
1609,Ekiti,,,
79,El Batroun,,,
1284,El Bayadh,,,
98,El Hermel,,,
305,El Kashafa,,,
78,El Koura,,,
820,El Kuek crossing,,,
298,El Leri West,,,
101,El Meten,,,
77,El Minieh-Dennie,,,
821,El Mquiens crossing,,,
830,El Obeid,,,
1291,El Oued,,,
720,El Salvador (country),,,
1288,El Taref,,,
1445,El-khalil,,,
127,Elbeyli Beseriye,,,
330,Elema,,,
1725,Emilia-Romagna,,,
41,Emirati Jordanian Camp (Murijep al Fhoud),,,
995,Ennedi-Est,,,
996,Ennedi-Ouest,,,
1607,Enugu,,,
479,Enyellé,,,
1711,Epirus,,,
958,Equateur,,,
489,Equateur,,,
814,Equatoria,,,
622,Equatorial Guinea (country),,,
15,Erbil,,,
16,Erbil Non-Camp,,,
157,Eritrea (country),,,
851,Erushinga (way-station),,,
1310,Est,,,
623,Estonia (country),,,
1534,Estuaire,,,
160,Ethiopia (country),,,
789,Europe,,,
1763,Evros,,,
1850,Eyl,,,
281,Ezo,,,
364,Fada,,,
1502,Faiyum,,,
772,Falkland Islands (Malvinas),,,
1088,Far North,,,
1808,Faradje,,,
1652,Farah,,,
1349,Faranah Region,,,
630,Faroe Islands,,,
1653,Faryab,,,
1371,Fassala / Néré,,,
1634,Fatick,,,
1684,Federally Administered Tribal Areas (وفاقی قبائلی علاقہ جات),,,
1588,Fès-Meknès,,,
625,Fiji (country),,,
626,Finland (country),,,
629,France (country),,,
624,French Guiana,,,
628,French Polynesia,,,
1726,Friuli-Venezia Giulia,,,
560,G. G. Communities,,,
205,Gaalkacyo,,,
632,Gabon (country),,,
1112,Gadi Foulbe,,,
374,Gado-Badzere,,,
1168,Gado-Badzere,,,
1169,Gaina,,,
1851,Galdogob,,,
810,Galgaduud,,,
235,Gambela,,,
633,Gambia (country),,,
1391,Gamgara 1,,,
1392,Gamgara 2,,,
1333,Gandafabou Kélwélé,,,
1113,Gandinang,,,
1170,Gandong,,,
1440,Gao,,,
1393,Gaoudel (Est.**),,,
1881,Garbahaarey,,,
1114,Garga Libona,,,
1115,Garga Pela,,,
1171,Garga Sarali,,,
383,Gari Gombo,,,
1172,Gari-Gombo,,,
1394,Garin Amadou,,,
794,Garissa,,,
376,Garoua Boulai,,,
1173,Garoua-Boulai,,,
204,Garowe,,,
1530,Gash-Barka,,,
1016,Gatore,,,
9,Gawilan Camp,,,
1116,Gazi,,,
128,Gaziantep,,,
132,Gaziantep Province Non-Camp Refugees,,,
1174,Gbabio,,,
1175,Gbakim,,,
1117,Gbata,,,
358,Gbatoua Ngodole,,,
377,Gbiti,,,
1176,Gbiti,,,
1832,Gebiley,,,
1819,Gedo,,,
266,Gendrassa,,,
635,Georgia (country),,,
636,Germany (country),,,
1569,Ghadamès,,,
637,Ghana (country),,,
1486,Ghanzi District,,,
1503,Gharbia,,,
1299,Ghardaïa,,,
1570,Gharyan,,,
1654,Ghazni,,,
1655,Ghor,,,
638,Gibraltar,,,
1019,Gihembe,,,
1685,Gilgit-Baltistan (autonomous territory) (گلگت بلتستان),,,
1032,Gitega,,,
1504,Giza,,,
176,Gode,,,
177,Gode,,,
525,Goh Djiboua,,,
526,Goh Djiboua,,,
1014,Goma,,,
1118,Gomana,,,
1610,Gombe,,,
423,Gondje,,,
1360,Gorgol,,,
1119,Goro,,,
290,Gorom,,,
1326,Gorom-Gorom (réfugiés urbain),,,
1328,Goudoubo Refugee Camp,,,
1120,Goundjel,,,
1334,Gountouré Gnegne (hors camp),,,
416,Goz Amir,,,
555,Grand Gedeh,,,
457,Grand Sido,,,
1553,Greater Accra,,,
815,Greater Upper Nile,,,
640,Greece (country),,,
785,Greenland,,,
641,Grenada (country),,,
1177,Gribi,,,
775,Guam,,,
642,Guatemala (country),,,
1276,Guelma,,,
1589,Guelmim-Oued Noun[A],,,
997,Guéra,,,
449,Guidikouti,,,
1361,Guidimaka,,,
643,Guinea (country),,,
639,Guinea-Bissau (country),,,
351,Guiwa I,,,
352,Guiwa II,,,
353,Guiwa III,,,
1178,Guiwa Yangamo,,,
644,Guyana (country),,,
991,Hadjer-Lamis,,,
181,Hagadera Ref. Camp,,,
645,Haiti (country),,,
1427,Hakoui Tchilouma,,,
1895,Hamar Weyne,,,
458,Haraze,,,
210,Hargeysa,,,
137,Harran Kokenli Container City,,,
91,Hasbaiya,,,
117,Hatay,,,
1795,Haut-Katanga,,,
1796,Haut-Lomami,,,
977,Haut-Mbomou,,,
1535,Haut-Ogooué,,,
1779,Haut-Uele,,,
979,Haute-Kotto,,,
1311,Hauts-Bassins,,,
396,Helboa,,,
1656,Helmand,,,
1657,Herat,,,
166,Hilaweyn Refugee Camp,,,
811,Hiraan,,,
573,History figures,,,
574,History Figures,,,
1852,Hobyo,,,
1362,Hodh Ech Chargui,,,
1363,Hodh El Gharbi,,,
341,Hoima,,,
452,Hollo,,,
756,Holy See (country),,,
647,Honduras (country),,,
646,Hong Kong,,,
915,Hongero (Rural Area),,,
1335,Hors Camp Férério,,,
1336,Hors Camp Oudalan,,,
1338,Hors Camp Soum (old),,,
1339,Hors Camp Soum (Old1),,,
1325,Houet/Autres,,,
1462,Huambo,,,
1463,Huila,,,
649,Hungary (country),,,
1020,Huye,,,
650,Iceland (country),,,
1069,Idjwi,,,
1803,Idomeni,,,
183,Ifo 2 Ref. Camp,,,
186,Ifo 2 West Ref. Camp,,,
182,Ifo Ref. Camp,,,
1428,Iles,,,
1395,Iles-Lac-Tchad-Niger,,,
1285,Illizi,,,
1611,Imo,,,
481,Impfondo,,,
1340,Inabao,,,
1364,Inchiri,,,
651,India (country),,,
652,Indonesia (country),,,
491,Inke (Outside of camp),,,
490,Inke Refugee Camp,,,
1396,Intadabdab,,,
1398,Intikane (Zone d'accueil) (Niger Nationals),,,
1397,Intikane Hosting Area,,,
1443,Intillit Gao,,,
1446,Intillit Kidal,,,
1712,Ionian Islands,,,
654,Iran (Islamic Republic of) (country),,,
5,Iraq (country),,,
44,Irbid,,,
43,Irbid Governorate,,,
653,Ireland (country),,,
838,Isingiro,,,
1846,Iskushuban,,,
129,Islahiye,,,
1686,Islamabad Capital Territory (federal capital territory) (وفاقی دارالحکومت),,,
1505,Ismailia,,,
655,Israel (country),,,
656,Italy (country),,,
1780,Ituri,,,
1571,Jabal al Akhdar,,,
1860,Jalalaqsi,,,
1893,Jamaame,,,
657,Jamaica (country),,,
264,Jamam,,,
658,Japan (country),,,
59,Jarash,,,
58,Jarash Governorate,,,
1853,Jariiban,,,
106,Jbeil,,,
1179,Jericho,,,
798,Jewi,,,
92,Jezzine,,,
1612,Jigawa,,,
1270,Jijel,,,
172,Jijiga,,,
1888,Jilib,,,
822,Joda crossing,,,
36,Jordan (country),,,
69,Jordan,,,
70,Jordan,,,
306,Jouri,,,
1861,Jowhar,,,
1658,Jowzjan,,,
291,Juba,,,
1816,Jubaland,,,
142,K.Maras-Merkez,,,
303,K10,,,
451,Kaba III,,,
916,Kaberagule (Rural Area),,,
1399,Kablewa,,,
1659,Kabul,,,
1694,Kachin State,,,
1321,Kadiogo/Autre,,,
1613,Kaduna,,,
1635,Kaffrine,,,
1506,Kafr el-Sheikh,,,
917,Kagando (Rural Area),,,
841,Kagera,,,
918,Kagurube (Rural Area),,,
141,Kahramanmaras,,,
1429,Kaiga et Kinjira,,,
190,Kakuma,,,
191,Kakuma Refugee Camp,,,
1070,Kalehe,,,
1012,Kalemie,,,
1760,Kalymnos,,,
919,Kamanyola (Rural Area),,,
1180,Kambele,,,
